www,ANZSIC06_2Digit,Subdivision descriptor,ANZSIC06,Description
www.oamaruorganics.nz,1,Agriculture,123,Vegetable Growing (Outdoors)
www.sofresh.co.nz,1,Agriculture,123,Vegetable Growing (Outdoors)
www.sundale.net.nz,1,Agriculture,123,Vegetable Growing (Outdoors)
www.trueearth.co.nz,1,Agriculture,123,Vegetable Growing (Outdoors)
www.turanga.co.nz,1,Agriculture,123,Vegetable Growing (Outdoors)
www.vagabondvege.nz,1,Agriculture,123,Vegetable Growing (Outdoors)
www.vedicorganics.nz,1,Agriculture,123,Vegetable Growing (Outdoors)
www.waikawafresh.co.nz,1,Agriculture,123,Vegetable Growing (Outdoors)
www.wefs.co.nz,1,Agriculture,123,Vegetable Growing (Outdoors)
www.wrightsprouts.co.nz,1,Agriculture,123,Vegetable Growing (Outdoors)
babichwines.co.nz,1,Agriculture,131,Grape Growing
brookelanevineyard.com,1,Agriculture,131,Grape Growing
burncottage.com,1,Agriculture,131,Grape Growing
cambridgeroad.co.nz,1,Agriculture,131,Grape Growing
daywen-vineyard-grapejuice-and-organically-grown-grapes.co.nz,1,Agriculture,131,Grape Growing
eightranges.co.nz,1,Agriculture,131,Grape Growing
escarpment.co.nz,1,Agriculture,131,Grape Growing
gibbstonbackroadvineyard.co.nz,1,Agriculture,131,Grape Growing
Rannach.co.nz,1,Agriculture,131,Grape Growing
springcreekestate.co.nz,1,Agriculture,131,Grape Growing
stonecutter.co.nz,1,Agriculture,131,Grape Growing
takamatuavalley.com,1,Agriculture,131,Grape Growing
www.batchwinery.com,1,Agriculture,131,Grape Growing
www.birdwines.com,1,Agriculture,131,Grape Growing
www.blackquail.co.nz,1,Agriculture,131,Grape Growing
www.brodieestate.co.nz,1,Agriculture,131,Grape Growing
www.brookelanevineyard.com,1,Agriculture,131,Grape Growing
www.burntspur.co.nz,1,Agriculture,131,Grape Growing
www.clos-henri.com,1,Agriculture,131,Grape Growing
www.corbansviticulture.co.nz,1,Agriculture,131,Grape Growing
www.craggyrange.co.nz,1,Agriculture,131,Grape Growing
www.dancingwater.co.nz,1,Agriculture,131,Grape Growing
www.dayvinleigh.co.nz,1,Agriculture,131,Grape Growing
www.dunnolly.co.nz,1,Agriculture,131,Grape Growing
www.flaxmore.co.nz,1,Agriculture,131,Grape Growing
www.grapevision.co.nz,1,Agriculture,131,Grape Growing
www.greystonewines.co.nz,1,Agriculture,131,Grape Growing
www.hintons.net.nz,1,Agriculture,131,Grape Growing
www.hopesgrove.co.nz,1,Agriculture,131,Grape Growing
www.karakapointvineyard.co.nz,1,Agriculture,131,Grape Growing
www.kinacliffs.co.nz,1,Agriculture,131,Grape Growing
www.larcombvineyard.co,1,Agriculture,131,Grape Growing
www.lazydog.co.nz,1,Agriculture,131,Grape Growing
www.lonegoat.co.nz,1,Agriculture,131,Grape Growing
www.longviewwines.co.nz,1,Agriculture,131,Grape Growing
www.maoripoint.co.nz,1,Agriculture,131,Grape Growing
www.meltonestate.co.nz,1,Agriculture,131,Grape Growing
www.mortonestatewines.co.nz,1,Agriculture,131,Grape Growing
www.mouterehills.co.nz,1,Agriculture,131,Grape Growing
www.omahabay.co.nz,1,Agriculture,131,Grape Growing
www.owhanake.co.nz,1,Agriculture,131,Grape Growing
www.paperroad.co.nz,1,Agriculture,131,Grape Growing
www.pinehilllodge.co.nz,1,Agriculture,131,Grape Growing
www.pisarangeestate.co.nz,1,Agriculture,131,Grape Growing
www.pondpaddock.nz,1,Agriculture,131,Grape Growing
www.qwine.co.nz,1,Agriculture,131,Grape Growing
www.riverrockestate.com,1,Agriculture,131,Grape Growing
www.rivertestate.co.nz,1,Agriculture,131,Grape Growing
www.rubybayvineyard.co.nz,1,Agriculture,131,Grape Growing
www.sloanviticulture.com,1,Agriculture,131,Grape Growing
www.soundsconnection.co.nz,1,Agriculture,131,Grape Growing
www.southdown.nz,1,Agriculture,131,Grape Growing
www.takatulodge.co.nz,1,Agriculture,131,Grape Growing
www.tekanoestate.com,1,Agriculture,131,Grape Growing
www.temotu.co.nz,1,Agriculture,131,Grape Growing
www.terravitae.co.nz,1,Agriculture,131,Grape Growing
www.trentsvineyard.co.nz,1,Agriculture,131,Grape Growing
www.villagevineyards.co.nz,1,Agriculture,131,Grape Growing
www.vinemanagers.co.nz,1,Agriculture,131,Grape Growing
www.vistawines.co.nz,1,Agriculture,131,Grape Growing
www.viticultura.co.nz,1,Agriculture,131,Grape Growing
www.vynfields.com,1,Agriculture,131,Grape Growing
www.waitiricreek.co.nz,1,Agriculture,131,Grape Growing
www.westbrook.co.nz,1,Agriculture,131,Grape Growing
www.wycroft.com,1,Agriculture,131,Grape Growing
www.zebranz.com,1,Agriculture,131,Grape Growing
ginkobiloba.astore.nz,1,Agriculture,132,Kiwifruit Growing
orangewood.co.nz,1,Agriculture,132,Kiwifruit Growing
tagh.co.nz,1,Agriculture,132,Kiwifruit Growing
thecrowesnest.co.nz,1,Agriculture,132,Kiwifruit Growing
trevelyan.co.nz,1,Agriculture,132,Kiwifruit Growing
www.dms4kiwi.co.nz,1,Agriculture,132,Kiwifruit Growing
www.jeffco.co.nz,1,Agriculture,132,Kiwifruit Growing
www.kiwifruitequities.co.nz,1,Agriculture,132,Kiwifruit Growing
www.mactrap.co.nz,1,Agriculture,132,Kiwifruit Growing
www.omsltd.co.nz,1,Agriculture,132,Kiwifruit Growing
www.punchbowl.co.nz,1,Agriculture,132,Kiwifruit Growing
www.trevelyan.co.nz,1,Agriculture,132,Kiwifruit Growing
berryfarmsnz.co.nz,1,Agriculture,133,Berry Fruit Growing
blueberries.co.nz,1,Agriculture,133,Berry Fruit Growing
blueberryhill.farm,1,Agriculture,133,Berry Fruit Growing
butlersberries.co.nz,1,Agriculture,133,Berry Fruit Growing
elanzafresh.co.nz,1,Agriculture,133,Berry Fruit Growing
maungatapereberries.co.nz,1,Agriculture,133,Berry Fruit Growing
strawberrypatch.co.nz,1,Agriculture,133,Berry Fruit Growing
www.bayblueberries.co.nz,1,Agriculture,133,Berry Fruit Growing
www.blueberry.co.nz,1,Agriculture,133,Berry Fruit Growing
www.blueberrybliss.co.nz,1,Agriculture,133,Berry Fruit Growing
www.boysenberry.co.nz,1,Agriculture,133,Berry Fruit Growing
www.clevedonstrawberries.com,1,Agriculture,133,Berry Fruit Growing
www.hannaberryfarm.co.nz,1,Agriculture,133,Berry Fruit Growing
www.miroberries.com,1,Agriculture,133,Berry Fruit Growing
www.monavaleblueberries.co.nz,1,Agriculture,133,Berry Fruit Growing
www.nzblackcurrants.com,1,Agriculture,133,Berry Fruit Growing
www.ruakuraberry.co.nz,1,Agriculture,133,Berry Fruit Growing
www.ryburngardens.co.nz,1,Agriculture,133,Berry Fruit Growing
www.tasmanbayberries.co.nz,1,Agriculture,133,Berry Fruit Growing
www.tauwhareberryfarm.nz,1,Agriculture,133,Berry Fruit Growing
www.waikawablueberries.com,1,Agriculture,133,Berry Fruit Growing
fairfieldorchards.co.nz,1,Agriculture,134,Apple and Pear Growing
RyanFruit.com,1,Agriculture,134,Apple and Pear Growing
www.bayleaforganics.co.nz,1,Agriculture,134,Apple and Pear Growing
www.bearsley.co.nz,1,Agriculture,134,Apple and Pear Growing
www.goldenbayfruit.com,1,Agriculture,134,Apple and Pear Growing
www.learningenvironment.nz,1,Agriculture,134,Apple and Pear Growing
www.prevar.co.nz,1,Agriculture,134,Apple and Pear Growing
www.taylorcorp.co.nz,1,Agriculture,134,Apple and Pear Growing
www.yummyfruit.co.nz,1,Agriculture,134,Apple and Pear Growing
waitakiorchards.co.nz,1,Agriculture,135,Stonefruit Growing
www.centralcherries.co.nz,1,Agriculture,135,Stonefruit Growing
www.cherryhomestead.nz,1,Agriculture,135,Stonefruit Growing
www.clydeorchards.co.nz,1,Agriculture,135,Stonefruit Growing
www.forestlodge.nz,1,Agriculture,135,Stonefruit Growing
www.gracebrook.co.nz,1,Agriculture,135,Stonefruit Growing
www.hazelnut.co.nz,1,Agriculture,135,Stonefruit Growing
www.hilltophb.co.nz,1,Agriculture,135,Stonefruit Growing
caviarlimes.co.nz,1,Agriculture,136,Citrus Fruit Growing
nzgourmet.net,1,Agriculture,136,Citrus Fruit Growing
www.azzurogroves.com,1,Agriculture,136,Citrus Fruit Growing
www.blueberrycorner.co.nz,1,Agriculture,136,Citrus Fruit Growing
www.boricfoodmarket.co.nz,1,Agriculture,136,Citrus Fruit Growing
www.bradshaws.nz,1,Agriculture,136,Citrus Fruit Growing
www.hillroadorchard.co.nz,1,Agriculture,136,Citrus Fruit Growing
www.hjroberts.co.nz,1,Agriculture,136,Citrus Fruit Growing
www.limes.co.nz,1,Agriculture,136,Citrus Fruit Growing
www.lothlorienwinery.co.nz,1,Agriculture,136,Citrus Fruit Growing
www.millorchard.co.nz,1,Agriculture,136,Citrus Fruit Growing
www.piopioberries.co.nz,1,Agriculture,136,Citrus Fruit Growing
www.purenzlimes.co.nz,1,Agriculture,136,Citrus Fruit Growing
www.remarkableorchards.co.nz,1,Agriculture,136,Citrus Fruit Growing
olivesonthehill.nz,1,Agriculture,137,Olive Growing
www.chapeloliveoil.co.nz,1,Agriculture,137,Olive Growing
www.daliolives.co.nz,1,Agriculture,137,Olive Growing
www.divinity.co.nz,1,Agriculture,137,Olive Growing
www.eskvalleyolives.co.nz,1,Agriculture,137,Olive Growing
www.gladstoneolives.co.nz,1,Agriculture,137,Olive Growing
www.mckenzieheating.co.nz,1,Agriculture,137,Olive Growing
www.noble-estate.co.nz,1,Agriculture,137,Olive Growing
www.oleaestate.com,1,Agriculture,137,Olive Growing
www.olivesonthehill.co.nz,1,Agriculture,137,Olive Growing
www.olivo.co.nz,1,Agriculture,137,Olive Growing
www.tewhekeolives.com,1,Agriculture,137,Olive Growing
www.theolivepress.co.nz,1,Agriculture,137,Olive Growing
www.twoshortdogs.co.nz,1,Agriculture,137,Olive Growing
duncanrd.com,1,Agriculture,139,Other Fruit and Tree Nut Growing
mounthydehazelnuts.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
mrapple.com,1,Agriculture,139,Other Fruit and Tree Nut Growing
route30fruit.wixsite.com,1,Agriculture,139,Other Fruit and Tree Nut Growing
tematafigs.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.arohamiraavos.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.baybell.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.canterburynuts.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.cathedralcovemacadamias.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.classicchristmastrees.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.darlingsfruit.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.eastpack.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.enzedexotics.com,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.feijoa.org.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.freshco.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.fruitcraft.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.kaiaponi.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.macnut.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.macnz.com,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.nutsaboutnz.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.ooooby.org,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.pinewater.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.simstal.kiwi,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.stellaconsulting.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.wacnz2023.com,1,Agriculture,139,Other Fruit and Tree Nut Growing
www.whistlerfoods.co.nz,1,Agriculture,139,Other Fruit and Tree Nut Growing
springsheepnz.com,1,Agriculture,141,Sheep Farming (Specialised)
www.coastalspringlamb.co.nz,1,Agriculture,141,Sheep Farming (Specialised)
centeroftheumaverse.nz,1,Agriculture,142,Beef Cattle Farming (Specialised)
koanuiherefords.co.nz,1,Agriculture,142,Beef Cattle Farming (Specialised)
Ulex.Estate,1,Agriculture,142,Beef Cattle Farming (Specialised)
www.alliedfarmers.co.nz,1,Agriculture,142,Beef Cattle Farming (Specialised)
www.anzcofoods.com,1,Agriculture,142,Beef Cattle Farming (Specialised)
www.enderby.co.nz,1,Agriculture,142,Beef Cattle Farming (Specialised)
www.facebook.com/thehinterlandsfarm,1,Agriculture,142,Beef Cattle Farming (Specialised)
www.kintore.co.nz,1,Agriculture,142,Beef Cattle Farming (Specialised)
www.nzwagyu.co.nz,1,Agriculture,142,Beef Cattle Farming (Specialised)
www.teatarangi.co.nz,1,Agriculture,142,Beef Cattle Farming (Specialised)
www.zapwater.co.nz,1,Agriculture,142,Beef Cattle Farming (Specialised)
beethampastural.co.nz,1,Agriculture,144,Sheep-Beef Cattle Farming
stevensongroup.stable.andsomeideas.com,1,Agriculture,144,Sheep-Beef Cattle Farming
www.goodfarms.co.nz,1,Agriculture,144,Sheep-Beef Cattle Farming
www.moreleafarm.com,1,Agriculture,144,Sheep-Beef Cattle Farming
www.pamunewzealand.com,1,Agriculture,144,Sheep-Beef Cattle Farming
www.piquethillfarms.co.nz,1,Agriculture,144,Sheep-Beef Cattle Farming
www.totaranuistud.co.nz,1,Agriculture,144,Sheep-Beef Cattle Farming
www.wilencote.co.nz,1,Agriculture,144,Sheep-Beef Cattle Farming
www.bciwater.co.nz,1,Agriculture,145,Grain-Sheep and Grain-Beef Cattle Farming
www.brownrigg.co.nz,1,Agriculture,145,Grain-Sheep and Grain-Beef Cattle Farming
www.corson.co.nz,1,Agriculture,149,Other Grain Growing
www.kiwimaize.co.nz,1,Agriculture,149,Other Grain Growing
www.luisettiseeds.co.nz,1,Agriculture,149,Other Grain Growing
www.pioneer.co.nz,1,Agriculture,149,Other Grain Growing
www.proseed.co.nz,1,Agriculture,149,Other Grain Growing
www.seeds4u.co.nz,1,Agriculture,149,Other Grain Growing
almac-nz.com,1,Agriculture,159,Other Crop Growing n.e.c.
clovertone.co.nz,1,Agriculture,159,Other Crop Growing n.e.c.
fairbanks.co.nz,1,Agriculture,159,Other Crop Growing n.e.c.
hikurangi.enterprises,1,Agriculture,159,Other Crop Growing n.e.c.
tasmanbaybotanicals.com,1,Agriculture,159,Other Crop Growing n.e.c.
www.ghp.co.nz,1,Agriculture,159,Other Crop Growing n.e.c.
www.kubalaseeds.co.nz,1,Agriculture,159,Other Crop Growing n.e.c.
www.lavenderfarm.co.nz,1,Agriculture,159,Other Crop Growing n.e.c.
www.nzhops.co.nz,1,Agriculture,159,Other Crop Growing n.e.c.
www.seedsolutions.co.nz,1,Agriculture,159,Other Crop Growing n.e.c.
www.wanakalavenderfarm.com,1,Agriculture,159,Other Crop Growing n.e.c.
eglpastoral.co.nz,1,Agriculture,160,Dairy Cattle Farming
grasslands.farm,1,Agriculture,160,Dairy Cattle Farming
mistyvale.co.nz,1,Agriculture,160,Dairy Cattle Farming
personlookup.co.nz,1,Agriculture,160,Dairy Cattle Farming
www.camdengroup.co.nz,1,Agriculture,160,Dairy Cattle Farming
www.craigmore.com,1,Agriculture,160,Dairy Cattle Farming
www.dairyholdings.co.nz,1,Agriculture,160,Dairy Cattle Farming
www.dreamview.co.nz,1,Agriculture,160,Dairy Cattle Farming
www.farmfreshsouth.nz,1,Agriculture,160,Dairy Cattle Farming
www.flexitanksnz.com,1,Agriculture,160,Dairy Cattle Farming
www.orbisdiagnostics.com,1,Agriculture,160,Dairy Cattle Farming
www.riverlock.co.nz,1,Agriculture,160,Dairy Cattle Farming
www.wwsires.co.nz,1,Agriculture,160,Dairy Cattle Farming
www.xcell.co.nz,1,Agriculture,160,Dairy Cattle Farming
www.yashili.co.nz,1,Agriculture,160,Dairy Cattle Farming
www.cantervalley.co.nz,1,Agriculture,171,Poultry Farming (Meat)
www.cheekychicken.co.nz,1,Agriculture,171,Poultry Farming (Meat)
www.croziersturkeys.co.nz,1,Agriculture,171,Poultry Farming (Meat)
www.inghams.com.au,1,Agriculture,171,Poultry Farming (Meat)
www.thechookyard.co.nz,1,Agriculture,171,Poultry Farming (Meat)
ewingpoultry.co.nz,1,Agriculture,172,Poultry Farming (Eggs)
keighleyspoultryfarm.co.nz,1,Agriculture,172,Poultry Farming (Eggs)
thechickenlady.co.nz,1,Agriculture,172,Poultry Farming (Eggs)
westwoodchickens.com,1,Agriculture,172,Poultry Farming (Eggs)
www.bettereggs.co.nz,1,Agriculture,172,Poultry Farming (Eggs)
www.eggs.co.nz,1,Agriculture,172,Poultry Farming (Eggs)
www.farmschicken.co.nz,1,Agriculture,172,Poultry Farming (Eggs)
www.farmyardeggs.co.nz,1,Agriculture,172,Poultry Farming (Eggs)
www.foragefarm.nz,1,Agriculture,172,Poultry Farming (Eggs)
www.frenzeggs.co.nz,1,Agriculture,172,Poultry Farming (Eggs)
www.happychicks.co.nz,1,Agriculture,172,Poultry Farming (Eggs)
www.hawkesbayeggs.co.nz,1,Agriculture,172,Poultry Farming (Eggs)
www.heydenfarms.co.nz,1,Agriculture,172,Poultry Farming (Eggs)
www.hhpoultry.co.nz,1,Agriculture,172,Poultry Farming (Eggs)
Www.oldroadhoneyandeggs.com,1,Agriculture,172,Poultry Farming (Eggs)
www.turkspoultry.com,1,Agriculture,172,Poultry Farming (Eggs)
www.alpinedeer.co.nz,1,Agriculture,180,Deer Farming
www.duncan-nz.com,1,Agriculture,180,Deer Farming
www.newzealanddeervelvet.co.nz,1,Agriculture,180,Deer Farming
www.nzsupremedeer.co.nz,1,Agriculture,180,Deer Farming
www.thompsonpropertygroup.co.nz,1,Agriculture,180,Deer Farming
bromaclodge.com,1,Agriculture,191,Horse Farming
jcinternational.co.nz,1,Agriculture,191,Horse Farming
www.astek.co.nz,1,Agriculture,191,Horse Farming
www.brighthillfarm.co.nz,1,Agriculture,191,Horse Farming
www.cambridgestud.co.nz,1,Agriculture,191,Horse Farming
www.classicarabians.com,1,Agriculture,191,Horse Farming
www.elitefrozenfoals.co.nz,1,Agriculture,191,Horse Farming
www.equibreed.co.nz,1,Agriculture,191,Horse Farming
www.equiscentials.co.nz,1,Agriculture,191,Horse Farming
www.garogerson.com,1,Agriculture,191,Horse Farming
www.gemmellcontracting.co.nz,1,Agriculture,191,Horse Farming
www.harnesslink.com,1,Agriculture,191,Horse Farming
www.highview.co.nz,1,Agriculture,191,Horse Farming
www.ibem.co.nz,1,Agriculture,191,Horse Farming
www.maccalodge.co.nz,1,Agriculture,191,Horse Farming
www.mapperleystud.co.nz,1,Agriculture,191,Horse Farming
www.mountlinton.co.nz,1,Agriculture,191,Horse Farming
www.nzb.co.nz,1,Agriculture,191,Horse Farming
www.nzea.co.nz,1,Agriculture,191,Horse Farming
